tier,site,plot_id,vegHeight,coverSum,HeightXCover
Peru_2020,QUE,PE_QUE_NB_1,14.2,92,1306.4
Peru_2020,QUE,PE_QUE_NB_2,17.2,95,1634
Peru_2020,QUE,PE_QUE_NB_3,6.8,73,496.4
Peru_2020,QUE,PE_QUE_NB_4,10,72.5,725
Peru_2020,QUE,PE_QUE_NB_5,9.6,73,700.8
Peru_2020,TRE,PE_TRE_C_1,,93.5,
Peru_2020,TRE,PE_TRE_C_2,,69.5,
Peru_2020,TRE,PE_TRE_C_3,,126,
Peru_2020,TRE,PE_TRE_C_4,,94,
Peru_2020,TRE,PE_TRE_C_5,,105,
Peru_2020,TRE,PE_TRE_NB_1,,75,
Peru_2020,TRE,PE_TRE_NB_2,,117.5,
Peru_2020,TRE,PE_TRE_NB_3,,99.5,
Peru_2020,TRE,PE_TRE_NB_4,,77,
Peru_2020,TRE,PE_TRE_NB_5,,93,
Svalbard_2018,ITEX,SV_ITEXBIS_L10,1.695,190,322.05
Svalbard_2018,ITEX,SV_ITEXBIS_L2,0.423,131,55.413
Svalbard_2018,ITEX,SV_ITEXBIS_L3,1.421,196,278.516
Svalbard_2018,ITEX,SV_ITEXBIS_L6,0.56,130,72.8
Svalbard_2018,ITEX,SV_ITEXBIS_L8,1.348,182,245.336
Svalbard_2018,ITEX,SV_ITEXCAS_L1,1.98,152,300.96
Svalbard_2018,ITEX,SV_ITEXCAS_L10,1.165,109,126.985
Svalbard_2018,ITEX,SV_ITEXCAS_L3,1.72,177,304.44
Svalbard_2018,ITEX,SV_ITEXCAS_L7,0.73,129,94.17
Svalbard_2018,ITEX,SV_ITEXCAS_L9,0.84,105,88.2
Svalbard_2018,ITEX,SV_ITEXDRY_L1,0.89,162,144.18
Svalbard_2018,ITEX,SV_ITEXDRY_L2,1.135,193,219.055
Svalbard_2018,ITEX,SV_ITEXDRY_L5,1.33333333333333,184,245.333333333333
Svalbard_2018,ITEX,SV_ITEXDRY_L7,1.285,185,237.725
Svalbard_2018,ITEX,SV_ITEXDRY_L8,1.01584158415842,156,158.471287128713
Svalbard_2018,B1,SV_B1A,2,36.1,72.2
Svalbard_2018,B1,SV_B1B,2,39,78
Svalbard_2018,B1,SV_B1C,1.5,32.5,48.75
Svalbard_2018,B1,SV_B1D,2,48.1,96.2
Svalbard_2018,B1,SV_B1E,1,35.8,35.8
Svalbard_2018,B1,SV_B1F,4,76.1,304.4
Svalbard_2018,B1,SV_B1G,2,65.5,131
Svalbard_2018,B2,SV_B2A,3,24.5,73.5
Svalbard_2018,B2,SV_B2B,1.5,36.5,54.75
Svalbard_2018,B2,SV_B2C,1,36,36
Svalbard_2018,B2,SV_B2D,1.5,31.5,47.25
Svalbard_2018,B2,SV_B2E,2,22.5,45
Svalbard_2018,B2,SV_B2F,1.5,48,72
Svalbard_2018,B2,SV_B2G,1.5,30.2,45.3
Svalbard_2018,B3,SV_B3A,1.5,44.7,67.05
Svalbard_2018,B3,SV_B3B,1.3,43.1,56.03
Svalbard_2018,B3,SV_B3C,2,54.5,109
Svalbard_2018,B3,SV_B3D,1.5,36.6,54.9
Svalbard_2018,B3,SV_B3E,2.5,31.5,78.75
Svalbard_2018,B3,SV_B3F,2,50.1,100.2
Svalbard_2018,B3,SV_B3G,3,86,258
Svalbard_2018,B4,SV_B4A,1,54,54
Svalbard_2018,B4,SV_B4B,1,42.5,42.5
Svalbard_2018,B4,SV_B4C,3,75.1,225.3
Svalbard_2018,B4,SV_B4D,2.5,53,132.5
Svalbard_2018,B4,SV_B4E,2,59.5,119
Svalbard_2018,B4,SV_B4F,1,70.3,70.3
Svalbard_2018,B4,SV_B4G,1.5,53.1,79.65
Svalbard_2018,B5,SV_B5A,4,31.2,124.8
Svalbard_2018,B5,SV_B5B,7,55.2,386.4
Svalbard_2018,B5,SV_B5C,7,42,294
Svalbard_2018,B5,SV_B5D,4,32.4,129.6
Svalbard_2018,B5,SV_B5E,3,48,144
Svalbard_2018,B5,SV_B5F,5,21.6,108
Svalbard_2018,B5,SV_B5G,0.5,12,6
Svalbard_2018,C1,SV_C1A,0.5,38.2,19.1
Svalbard_2018,C1,SV_C1B,0.5,71.3,35.65
Svalbard_2018,C1,SV_C1C,0.5,61.6,30.8
Svalbard_2018,C1,SV_C1D,1,49.5,49.5
Svalbard_2018,C1,SV_C1E,3,75.1,225.3
Svalbard_2018,C1,SV_C1F,4,43.6,174.4
Svalbard_2018,C1,SV_C1G,1.5,52.7,79.05
Svalbard_2018,C2,SV_C2A,1,22.7,22.7
Svalbard_2018,C2,SV_C2B,2,15.2,30.4
Svalbard_2018,C2,SV_C2C,1,17.1,17.1
Svalbard_2018,C2,SV_C2D,2,33,66
Svalbard_2018,C2,SV_C2E,3,14.6,43.8
Svalbard_2018,C2,SV_C2F,1,15.1,15.1
Svalbard_2018,C2,SV_C2G,0.5,20.2,10.1
Svalbard_2018,C3,SV_C3A,2,51.3,102.6
Svalbard_2018,C3,SV_C3B,2,39.9,79.8
Svalbard_2018,C3,SV_C3C,2,53.1,106.2
Svalbard_2018,C3,SV_C3D,1.5,45.3,67.95
Svalbard_2018,C3,SV_C3E,3,42.1,126.3
Svalbard_2018,C3,SV_C3F,2,62.2,124.4
Svalbard_2018,C3,SV_C3G,1,52.7,52.7
Svalbard_2018,C4,SV_C4A,1,6.1,6.1
Svalbard_2018,C4,SV_C4B,3,21.3,63.9
Svalbard_2018,C4,SV_C4C,4,41.1,164.4
Svalbard_2018,C4,SV_C4D,5,92,460
Svalbard_2018,C4,SV_C4E,3,33.7,101.1
Svalbard_2018,C4,SV_C4F,2.5,25.1,62.75
Svalbard_2018,C4,SV_C4G,2,28.1,56.2
Svalbard_2018,C5,SV_C5A,1,24.4,24.4
Svalbard_2018,C5,SV_C5B,2,13.3,26.6
Svalbard_2018,C5,SV_C5C,2,19.9,39.8
Svalbard_2018,C5,SV_C5D,2,16.7,33.4
Svalbard_2018,C5,SV_C5E,3,40.4,121.2
Svalbard_2018,C5,SV_C5F,4,37.6,150.4
Svalbard_2018,C5,SV_C5G,3.5,42.3,148.05
Svalbard_2018,C6,SV_C6A,1,39.6,39.6
Svalbard_2018,C6,SV_C6B,2,46.6,93.2
Svalbard_2018,C6,SV_C6C,1,28.7,28.7
Svalbard_2018,C6,SV_C6D,1,81.9,81.9
Svalbard_2018,C6,SV_C6E,2,32.6,65.2
Svalbard_2018,C6,SV_C6F,2,20.2,40.4
Svalbard_2018,C6,SV_C6G,2,24,48
Svalbard_2018,C7,SV_C7A,3,12.2,36.6
Svalbard_2018,C7,SV_C7B,1,18.2,18.2
Svalbard_2018,C7,SV_C7C,1.5,36.7,55.05
Svalbard_2018,C7,SV_C7D,3,8,24
Norway_2022,Hog,NO_Hog_TTC 101,9.47375215146299,66,625.267641996558
Norway_2022,Hog,NO_Hog_TTC 110,18.9348710990502,82,1552.65943012212
Norway_2022,Hog,NO_Hog_TTC 115,11.5894308943089,131,1518.21544715447
Norway_2022,Joa,NO_Joa_109 AN3C 109,8.93601190476191,75,670.200892857143
Norway_2022,Joa,NO_Joa_156 AN2C 156,11.7027027027027,125,1462.83783783784
Norway_2022,Joa,NO_Joa_81 AN1C 81,11.709746588694,111,1299.78187134503
Norway_2022,Lia,NO_Lia_27 AN3C 27,2.70752864157119,85,230.139934533552
Norway_2022,Lia,NO_Lia_4 AN1C 4,3.41062670299728,129,439.970844686649
Norway_2022,Lia,NO_Lia_77 AN2C 77,3.77557003257329,84,317.147882736156
Norway_2022,Vik,NO_Vik_TTC 141,9.51950286806883,71,675.884703632887
Norway_2022,Vik,NO_Vik_TTC 146,14.306386036961,81,1158.81726899384
Colorado_2016,almont,US_almont1,22.6,51,1152.6
Colorado_2016,almont,US_almont2,27.5,84.5,2323.75
Colorado_2016,almont,US_almont3,22.4,70,1568
Colorado_2016,almont,US_almont4,26.5,79,2093.5
Colorado_2016,almont,US_almont5,24.5,80,1960
Colorado_2016,cbt,US_cbt1,31.1,131,4074.1
Colorado_2016,cbt,US_cbt2,29,156.5,4538.5
Colorado_2016,cbt,US_cbt3,18.2,139.5,2538.9
Colorado_2016,cbt,US_cbt4,28.4,158.5,4501.4
Colorado_2016,cbt,US_cbt5,15.3,155,2371.5
Colorado_2016,cinnamon,US_cinnamon1,27.6,90,2484
Colorado_2016,cinnamon,US_cinnamon2,28.6,94,2688.4
Colorado_2016,cinnamon,US_cinnamon3,21.6,50,1080
Colorado_2016,cinnamon,US_cinnamon4,24.2,91,2202.2
Colorado_2016,cinnamon,US_cinnamon5,29,87,2523
Colorado_2016,pbm,US_pbm1,70.2,142,9968.4
Colorado_2016,pbm,US_pbm2,98,142.5,13965
Colorado_2016,pbm,US_pbm3,117.9,133.5,15739.65
Colorado_2016,pbm,US_pbm4,35.6,100,3560
Colorado_2016,pbm,US_pbm5,23.3,97,2260.1
Colorado_2016,pfeiler,US_pfeiler1,44,101.5,4466
Colorado_2016,pfeiler,US_pfeiler2,63.3,140.5,8893.65
Colorado_2016,pfeiler,US_pfeiler3,62.6,154,9640.4
Colorado_2016,pfeiler,US_pfeiler4,49.1,139.5,6849.45
Colorado_2016,pfeiler,US_pfeiler5,54,139,7506
Colorado_2016,road,US_road1,28,112.5,3150
Colorado_2016,road,US_road2,36.6,126.5,4629.9
Colorado_2016,road,US_road3,43.5,115.5,5024.25
Colorado_2016,road,US_road4,47.2,142.5,6726
Colorado_2016,road,US_road5,50.7,141,7148.7
Colorado_2018,almont,US_almont1,20.4,68,1387.2
Colorado_2018,almont,US_almont2,30,91,2730
Colorado_2018,almont,US_almont3,14.6,74,1080.4
Colorado_2018,almont,US_almont4,15.8,95,1501
Colorado_2018,almont,US_almont5,17.2,84,1444.8
Colorado_2018,cbt,US_cbt1,24.7,128.5,3173.95
Colorado_2018,cbt,US_cbt2,21.75,111.5,2425.125
Colorado_2018,cbt,US_cbt3,14.35,140,2009
Colorado_2018,cbt,US_cbt4,18,119,2142
Colorado_2018,cbt,US_cbt5,17.45,140,2443
Colorado_2018,cinnamon,US_cinnamon1,44.6,138,6154.8
Colorado_2018,cinnamon,US_cinnamon2,32.6,103,3357.8
Colorado_2018,cinnamon,US_cinnamon3,29,138,4002
Colorado_2018,cinnamon,US_cinnamon4,31.4,150,4710
Colorado_2018,cinnamon,US_cinnamon5,29,129,3741
Colorado_2018,pbm,US_pbm1,37.6,126,4737.6
Colorado_2018,pbm,US_pbm2,41.6,130,5408
Colorado_2018,pbm,US_pbm3,41.8,88,3678.4
Colorado_2018,pbm,US_pbm4,21.8,130,2834
Colorado_2018,pbm,US_pbm5,14,76,1064
Colorado_2018,pfeiler,US_pfeiler1,26.9,113,3039.7
Colorado_2018,pfeiler,US_pfeiler2,55.6,132,7339.2
Colorado_2018,pfeiler,US_pfeiler3,49.2,136,6691.2
Colorado_2018,pfeiler,US_pfeiler4,27.2,144.5,3930.4
Colorado_2018,pfeiler,US_pfeiler5,38.9,123,4784.7
Colorado_2018,road,US_road1,23.9,89.75,2145.025
Colorado_2018,road,US_road2,31.55,109,3438.95
Colorado_2018,road,US_road3,45.05,126.5,5698.825
Colorado_2018,road,US_road4,43.35,137.25,5949.7875
Colorado_2018,road,US_road5,71.55,150.5,10768.275
South_Africa_2023,2000east,SA_2000east1,11.6,53,614.8
South_Africa_2023,2000east,SA_2000east2,11.4,43,490.2
South_Africa_2023,2000east,SA_2000east3,11.4,68.5,780.9
South_Africa_2023,2000east,SA_2000east4,11.2,36.5,408.8
South_Africa_2023,2000east,SA_2000east5,10.6,35,371
South_Africa_2023,2000west,SA_2000west1,14,25,350
South_Africa_2023,2000west,SA_2000west2,11.2,79,884.8
South_Africa_2023,2000west,SA_2000west3,9.6,20,192
South_Africa_2023,2000west,SA_2000west4,9.2,38.5,354.2
South_Africa_2023,2000west,SA_2000west5,8.8,61.5,541.2
South_Africa_2023,2200east,SA_2200east1,9.8,41.5,406.7
South_Africa_2023,2200east,SA_2200east2,13,39,507
South_Africa_2023,2200east,SA_2200east3,13,38,494
South_Africa_2023,2200east,SA_2200east4,10,34,340
South_Africa_2023,2200east,SA_2200east5,10.8,36,388.8
South_Africa_2023,2200west,SA_2200west1,15,51,765
South_Africa_2023,2200west,SA_2200west2,12.8,43,550.4
South_Africa_2023,2200west,SA_2200west3,11.6,46.5,539.4
South_Africa_2023,2200west,SA_2200west4,14.4,95.5,1375.2
South_Africa_2023,2200west,SA_2200west5,15.2,22.5,342
South_Africa_2023,2400east,SA_2400east1,26.6,98,2606.8
South_Africa_2023,2400east,SA_2400east2,22,103.5,2277
South_Africa_2023,2400east,SA_2400east3,24.6,100,2460
South_Africa_2023,2400east,SA_2400east4,28.2,74,2086.8
South_Africa_2023,2400east,SA_2400east5,28.4,71,2016.4
South_Africa_2023,2400west,SA_2400west1,13.2,27.5,363
South_Africa_2023,2400west,SA_2400west2,14,38,532
South_Africa_2023,2400west,SA_2400west3,13.2,42,554.4
South_Africa_2023,2400west,SA_2400west4,9.6,31.5,302.4
South_Africa_2023,2400west,SA_2400west5,9,27.5,247.5
South_Africa_2023,2600east,SA_2600east1,15.6,43.5,678.6
South_Africa_2023,2600east,SA_2600east2,15.8,64,1011.2
South_Africa_2023,2600east,SA_2600east3,12.8,33,422.4
South_Africa_2023,2600east,SA_2600east4,17.6,70.5,1240.8
South_Africa_2023,2600east,SA_2600east5,12.6,39,491.4
South_Africa_2023,2600west,SA_2600west1,11.8,71,837.8
South_Africa_2023,2600west,SA_2600west2,14.8,76,1124.8
South_Africa_2023,2600west,SA_2600west3,10,68.5,685
South_Africa_2023,2600west,SA_2600west4,14.4,88.5,1274.4
